id,index_name,interval_minutes,trend,confidence,current_price,sma_9,sma_20,sma_50,rsi,macd,signal_line,bb_upper,bb_middle,bb_lower,atr,bullish_signals,bearish_signals,created_at
1,NIFTY,5,BEARISH,100.0,23130.55,23158.69,23175.64,23198.47,39.42,-14.2877,-10.0159,,,,,0,3.5,2026-06-09T13:26:08.049008+05:30
2,NIFTY,5,BEARISH,100.0,23130.55,23158.69,23175.64,23198.47,39.42,-14.2877,-10.0159,,,,,0,3.5,2026-06-09T13:26:46.150794+05:30
