id,index_name,signal_type,signal_strength,bullish_count,bearish_count,neutral_count,details,created_at
1,NIFTY,SELL,100.0,0,3.5,0,"{""signal"": ""SELL"", ""strength"": 100.0, ""details"": {""5min"": {""trend"": ""BEARISH"", ""confidence"": 100, ""current_price"": 23130.55, ""sma_9"": 23158.69, ""sma_20"": 23175.64, ""sma_50"": 23198.47, ""rsi"": 39.42, ""macd"": -14.2877, ""signal"": -10.0159, ""bullish_signals"": 0, ""bearish_signals"": 3.5}}}",2026-06-09T13:26:08.059517+05:30
2,NIFTY,SELL,100.0,0,3.5,0,"{""signal"": ""SELL"", ""strength"": 100.0, ""details"": {""5min"": {""trend"": ""BEARISH"", ""confidence"": 100, ""current_price"": 23130.55, ""sma_9"": 23158.69, ""sma_20"": 23175.64, ""sma_50"": 23198.47, ""rsi"": 39.42, ""macd"": -14.2877, ""signal"": -10.0159, ""bullish_signals"": 0, ""bearish_signals"": 3.5}}}",2026-06-09T13:26:46.176362+05:30
